REPORTING_YEAR,CHEM_NAME,REL_EST_AMT,CARCINOGEN,CLEAN_AIR,LIST_3350,PFAS_IND,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,ZIP_CODE,REGION,TOTAL_RELEASE
2016,Chromium compounds (except for chromite ore mined in the Transvaal Region),3,N,Y,Y,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,3
2019,Mercury compounds,0.52,N,Y,Y,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,0.52
2019,Methyl methacrylate,0,N,Y,N,0,3419 SMALLMAN ST,PITTSBURGH,ALLEGHENY,PA,15201,3,0
2020,Benzo[g h i]perylene,0,N,Y,N,0,9 THORN ST,CORAOPOLIS,ALLEGHENY,PA,15108,3,
2015,Ethylbenzene,61,Y,Y,N,0,2800 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,61
2021,Mercury compounds,0.04,N,Y,Y,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,0.04
2020,n-Hexane,845,N,Y,N,0,9 THORN ST,CORAOPOLIS,ALLEGHENY,PA,15108,3,845
2021,Chromium compounds (except for chromite ore mined in the Transvaal Region),62.95,N,Y,Y,0,1300 BRADDOCK AVE,BRADDOCK,ALLEGHENY,PA,15104,3,62.95
2021,Chromium compounds (except for chromite ore mined in the Transvaal Region),0,N,Y,Y,0,1300 BRADDOCK AVE,BRADDOCK,ALLEGHENY,PA,15104,3,
2016,Hydrogen sulfide,0,N,Y,N,0,200 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,0
2017,Xylene (mixed isomers),11387,N,Y,Y,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,11387
2019,Benzene,430,Y,Y,Y,0,9 THORN ST,CORAOPOLIS,ALLEGHENY,PA,15108,3,430
2021,1 2 4-Trimethylbenzene,8,N,N,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,8
2017,Nickel,145,Y,Y,Y,0,600 MAYER ST,BRIDGEVILLE,ALLEGHENY,PA,15017,3,145
2021,Dicyclopentadiene,154,N,N,N,0,2650 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,154
2017,1 2 4-Trimethylbenzene,0,N,N,N,0,616 HITE RD,HARWICK,ALLEGHENY,PA,15049,3,
2015,Copper compounds,31,N,N,N,0,200 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,31
2021,Barium  And Barium Compounds,15,N,N,N,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,15
2016,Benzene,11000,Y,Y,Y,0,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,15025,3,11000
2015,Dioxin and dioxin-like compounds,0.187,Y,Y,N,0,200 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,0.187
2016,Nitric acid,109.8,N,N,N,0,15 ALLEGHENY SQUARE,GLASSPORT,ALLEGHENY,PA,15045,3,109.8
2019,Manganese,0,N,Y,N,0,1001 E WATERFRONT DR,MUNHALL,ALLEGHENY,PA,15120,3,
2017,Ethylene,9500,N,N,N,0,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,15025,3,9500
2018,Chromium,0,N,Y,Y,0,682 MAYER ST,BRIDGEVILLE,ALLEGHENY,PA,15017,3,
2016,Certain glycol ethers,377,N,Y,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,377
2015,Zinc compounds,512,N,N,N,0,100 RIVER RD,BRACKENRIDGE,ALLEGHENY,PA,15014,3,512
